cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,C,C,B,B,C,B,B,C,A,A,A,A,A,D,D,D,D,A,A,P,G,A,A,D,G,F,G,F,B,BI,CS,A,AN,K,A,K,HM,0.634734,0.785784,0.336963,0.894723,0.882274,0.456654,0.47365,0.36083,0.46853,0.51666,0.4961,0.485119,0.363547,0.258776
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,A,A,D,D,D,E,A,A,P,B,A,A,A,G,F,G,F,B,BI,EG,C,AN,K,A,K,HK,0.634734,0.681761,0.336963,0.869299,0.811271,0.456654,0.457075,0.36083,0.46853,0.51666,0.4961,0.485119,0.363547,0.28389
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,D,B,A,B,D,B,A,A,A,G,H,D,A,C,E,G,D,T,B,D,A,A,K,D,E,H,K,BI,EL,A,AW,L,A,O,JL,0.844124,0.047297,0.063386,0.364302,0.288217,0.84717,0.485401,0.31796,0.83735,0.71323,0.415029,0.481306,0.773235,0.837501
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,B,C,B,B,B,A,A,A,C,A,D,D,D,E,E,A,P,M,A,A,A,D,E,J,H,B,BI,EG,A,AE,BM,N,L,CK,0.330514,0.681761,0.61366,0.473202,0.908217,0.240069,0.279895,0.24564,0.30859,0.32446,0.223038,0.220003,0.333292,0.252635
A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,D,A,A,E,F,H,F,B,BI,BT,A,AS,AX,E,K,DP,0.484469,0.681761,0.54977,0.452887,0.499798,0.350688,0.363197,0.58354,0.44352,0.39599,0.341813,0.352251,0.339244,0.729193
A,B,A,B,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,A,C,B,D,B,D,A,A,A,A,C,B,C,E,E,C,T,L,L,A,A,G,E,F,G,G,BU,BC,C,J,S,A,P,HV,0.832333,0.620805,0.298977,0.796346,0.78323,0.688201,0.457443,0.67263,0.83505,0.45017,0.4922,0.500382,0.684242,0.389519
B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,I,A,A,B,F,F,F,J,E,BI,CL,A,AH,F,A,M,HB,0.376862,0.737068,0.80643,0.393132,0.534484,0.636189,0.763817,0.61229,0.46853,0.57716,0.711942,0.698722,0.572812,0.230952
B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,C,E,C,A,D,A,A,A,A,I,I,G,E,H,BI,CO,A,E,X,E,I,KC,0.458463,0.555782,0.440642,0.864586,0.281143,0.426216,0.526655,0.69334,0.39849,0.57172,0.797841,0.785706,0.243546,0.82047
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,A,C,B,D,B,A,A,A,B,A,D,D,C,E,C,D,T,J,A,A,A,G,G,H,J,K,BI,EL,C,AN,AK,A,N,HL,0.40028,0.827585,0.728827,0.229617,0.317541,0.510054,0.496698,0.2926,0.38249,0.58796,0.730752,0.717648,0.6426,0.285019
B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,K,A,A,A,G,F,H,K,K,BI,DX,A,U,BM,E,O,HG,0.410063,0.422197,0.54977,0.554673,0.805895,0.513874,0.493367,0.70342,0.39447,0.46119,0.569745,0.55738,0.660756,0.296717
A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,F,A,D,D,C,E,D,A,N,M,C,A,A,C,D,L,L,I,AB,BS,A,AE,K,C,N,CB,0.107083,0.681761,0.484196,0.809278,0.405415,0.204165,0.242788,0.58354,0.22969,0.19086,0.162728,0.16147,0.382252,0.194575
A,B,A,A,B,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,C,B,B,C,B,B,C,A,B,A,A,A,D,B,C,E,E,A,D,G,D,A,E,D,E,J,G,A,AB,EG,A,U,K,A,K,DC,0.351358,0.555782,0.440642,0.83324,0.811271,0.241574,0.255339,0.58934,0.32496,0.26029,0.257148,0.253044,0.276878,0.297896
A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,C,B,D,B,A,A,B,B,H,D,C,C,E,A,D,T,F,A,A,A,K,F,F,K,K,BI,CL,A,AS,L,A,P,LM,0.655966,0.555782,0.336963,0.705434,0.281143,0.8581,0.681493,0.82252,0.58325,0.80569,0.832976,0.832658,0.866072,0.714149
A,B,A,A,B,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,D,B,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,L,J,A,B,H,F,G,J,K,BI,AK,A,S,BM,A,O,IE,0.472892,0.358319,0.356819,0.309621,0.850206,0.596448,0.535135,0.48864,0.45391,0.56627,0.625936,0.612906,0.69565,0.679136
B,B,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,D,B,D,B,B,C,B,D,B,A,A,A,B,H,D,C,C,E,C,D,T,F,F,A,A,H,F,F,K,K,BI,CS,C,T,L,A,P,IG,0.513457,0.358319,0.440642,0.753703,0.281143,0.744458,0.599132,0.87954,0.521,0.61459,0.727671,0.714544,0.78245,0.196324
A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,B,B,A,C,B,B,B,A,A,A,D,A,D,D,D,E,A,A,P,N,A,A,A,H,H,F,E,D,BI,EB,O,J,AO,C,J,KI,0.549543,0.422197,0.592681,0.318422,0.364322,0.493591,0.665542,0.29758,0.55233,0.53328,0.742852,0.729856,0.287682,0.383506
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,B,D,D,E,C,A,P,J,A,A,A,G,I,G,G,D,BI,EG,A,K,AN,E,J,HK,0.348719,0.620805,0.844219,0.229617,0.281143,0.448496,0.735978,0.36083,0.40657,0.40666,0.776962,0.800726,0.287682,0.361288
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,C,C,B,B,B,A,A,A,B,A,D,B,D,E,A,A,P,N,A,A,A,H,F,G,E,B,AB,CL,E,AV,BC,A,I,HX,0.606064,0.555782,0.215772,0.775744,0.281143,0.433999,0.415949,0.46477,0.46853,0.56627,0.453334,0.443374,0.282249,0.317124
A,B,A,A,B,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,B,C,B,B,C,A,A,A,A,A,D,D,D,E,C,A,P,G,Q,A,D,E,F,H,G,B,R,CM,A,J,AK,A,K,GK,0.435531,0.488789,0.527991,0.236924,0.281143,0.340845,0.355246,0.3128,0.39849,0.41743,0.396226,0.387819,0.351299,0.381147
A,B,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,D,C,C,E,A,C,T,F,I,A,A,K,F,F,G,G,BI,EG,A,AS,AD,A,O,LM,0.907272,0.620805,0.336963,0.696873,0.281143,0.844563,0.533048,0.97123,0.93383,0.83814,0.832976,0.832658,0.810511,0.731289
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,A,A,P,K,A,A,A,G,H,F,F,D,BI,CL,A,E,AT,C,J,HN,0.512009,0.827585,0.832339,0.473202,0.551723,0.535867,0.922416,0.45883,0.52519,0.52221,0.802827,0.790803,0.339244,0.801106
A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,D,D,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,H,C,A,A,E,F,F,G,D,BI,CL,E,E,AN,A,K,GI,0.351358,0.681761,0.777587,0.18295,0.281143,0.484775,0.698278,0.35533,0.40657,0.40666,0.468839,0.458493,0.30435,0.806951
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,A,A,A,A,G,G,F,J,E,BI,CL,A,J,A,J,M,HV,0.497513,0.681761,0.762059,0.275813,0.491114,0.726853,0.818594,0.30768,0.42289,0.7877,0.797841,0.785706,0.669664,0.396839
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,C,C,B,A,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,G,A,A,C,D,E,J,G,B,AB,EG,A,E,BG,A,L,DC,0.408661,0.422197,0.419161,0.195483,0.456483,0.233061,0.217872,0.2828,0.32311,0.23148,0.24541,0.241676,0.324464,0.80155
A,B,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,B,C,B,B,C,A,A,A,B,H,C,B,D,E,C,A,P,F,J,A,B,F,F,I,G,B,BI,BS,A,AY,BM,A,L,GS,0.475784,0.488789,0.397983,0.383428,0.696981,0.331919,0.345585,0.36083,0.39849,0.39599,0.415029,0.40609,0.363547,0.544993
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,A,A,D,B,D,D,A,A,P,I,A,A,C,F,D,G,E,B,AB,AI,A,R,X,A,J,GT,0.596331,0.15999,0.174588,0.89851,0.651246,0.398862,0.324264,0.53642,0.427,0.52221,0.26014,0.270746,0.287682,0.438179
B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,C,F,G,F,E,B,BI,W,A,H,A,A,I,HB,0.523592,0.299102,0.762059,0.208655,0.405415,0.438337,0.578223,0.26847,0.41879,0.39068,0.678924,0.665644,0.226765,0.288282
